dependency,label,project_language,count
bslib,UI,R,14
rich-click,UI,Python,14
shinydashboard,UI,R,14
BH,Software,R,14
Git,Software,C++,14
include,Software,Python,14
ipython-genutils,Software,Python,14
keyring,Software,Python,14
locket,Software,Python,14
multidict,Software,Python,14
pypandoc,Software,Python,14
shellingham,Software,Python,14
base64enc,RIS,R,14
boto3,RIS,Python,14
commonmark,RIS,Python,14
DBI,RIS,R,14
nbval,RIS,Python,14
partd,RIS,Python,14
pydata_sphinx_theme,RIS,Python,14
R.utils,RIS,R,14
sphinx_autodoc_typehints,RIS,Python,14
insight,Data analytics,R,14
keras,Data analytics,Python,14
ml-dtypes,Data analytics,Python,14
polars,Data analytics,Python,14
pyshp,Data analytics,Python,14
tidyverse,Data analytics,R,14
IPython,UI,Python,13
pillar,UI,R,13
aiosignal,Software,Python,13
backports,Software,R,13
blinker,Software,Python,13
entrypoints,Software,Python,13
frozenlist,Software,Python,13
grpcio,Software,Python,13
monty,Software,Python,13
pyasn1,Software,Python,13
requests-toolbelt,Software,Python,13
yarl,Software,Python,13
nbstripout,RIS,Python,13
pkgdown,RIS,R,13
pkgload,RIS,R,13
future.apply,Process,R,13
pytest-timeout,Process,Python,13
Eigen3,Modeling and simulation,C++,13
pracma,Modeling and simulation,R,13
nvidia-nccl-cu12,Hardware,Python,13
altair,Data analytics,Python,13
cartopy,Data analytics,Python,13
cftime,Data analytics,Python,13
colorspace,Data analytics,R,13
ggpubr,Data analytics,R,13
magick,Data analytics,R,13
nlme,Data analytics,R,13
sp,Data analytics,R,13
viridisLite,Data analytics,R,13
docs,,C++,13
humanize,,Python,13
roman-numerals-py,,Python,13
dash,UI,Python,12
datawizard,UI,R,12
ipympl,UI,Python,12
panel,UI,Python,12
click-plugins,Software,Python,12
docopt,Software,Python,12
jmespath,Software,Python,12
lark,Software,Python,12
ply,Software,Python,12
pydantic-settings,Software,Python,12
pyright,Software,Python,12
pytest-asyncio,Software,Python,12
pytest-randomly,Software,Python,12
rsa,Software,Python,12
setuptools_scm,Software,Python,12
botocore,RIS,Python,12
gdown,RIS,Python,12
sphinx-togglebutton,RIS,Python,12
ase,Modeling and simulation,Python,12
pyerfa,Modeling and simulation,Python,12
units,Modeling and simulation,R,12
bayestestR,Data analytics,R,12
coda,Data analytics,R,12
fiona,Data analytics,Python,12
lavaan,Data analytics,R,12
nltk,Data analytics,Python,12
osmnx,Data analytics,Python,12
pyvista,Data analytics,Python,12
zoo,Data analytics,R,12
askpass,UI,R,11
Flask,UI,Python,11
prettytable,UI,Python,11
xfun,UI,R,11
async-timeout,Software,Python,11
lazy-loader,Software,Python,11
PkgConfig,Software,C++,11
png,Software,R,11
pyasn1-modules,Software,Python,11
pydot,Software,Python,11
pytest-mpl,Software,Python,11
Threads,Software,C++,11
here,RIS,R,11
jupyter-sphinx,RIS,Python,11
nbsphinx-link,RIS,Python,11
pydicom,RIS,Python,11
readthedocs-sphinx-search,RIS,Python,11
sphinx-basic-ng,RIS,Python,11
tinytex,RIS,R,11
furrr,Process,R,11
nox,Process,Python,11
pytest-runner,Process,Python,11
parameters,Modeling and simulation,R,11
nvidia-cublas-cu12,Hardware,Python,11
nvidia-cuda-cupti-cu12,Hardware,Python,11
nvidia-cuda-runtime-cu12,Hardware,Python,11
nvidia-cudnn-cu12,Hardware,Python,11
nvidia-cufft-cu12,Hardware,Python,11
nvidia-cusolver-cu12,Hardware,Python,11
nvidia-cusparse-cu12,Hardware,Python,11
nvidia-nvjitlink-cu12,Hardware,Python,11
pyserial,Hardware,Python,11
colorcet,Data analytics,Python,11
emmeans,Data analytics,R,11
evaluate,Data analytics,Python,11
lmfit,Data analytics,Python,11
mne,Data analytics,Python,11
optax,Data analytics,Python,11
ranger,Data analytics,R,11
transformers,Data analytics,Python,11
m,,C,11
argcomplete,UI,Python,10
qtconsole,UI,Python,10
gunicorn,Software,Python,10
aiohappyeyeballs,Software,Python,10
autopep8,Software,Python,10
backrefs,Software,Python,10
cpp11,Software,R,10
fastapi,Software,Python,10
flatbuffers,Software,Python,10
google-auth,Software,Python,10
GTest,Software,C++,10
jaraco-classes,Software,Python,10
natsort,Software,Python,10
orjson,Software,Python,10
py-cpUInfo,Software,Python,10
pyqt5,Software,Python,10
pyrsistent,Software,Python,10
sys,Software,R,10
utf8,Software,R,10
atomicwrites,RIS,Python,10
desc,RIS,R,10
doc,RIS,C++,10
fontawesome,RIS,R,10
gt,RIS,R,10
jeepney,RIS,Python,10
pkgconfig,RIS,R,10
renv,RIS,R,10
reticulate,RIS,R,10
rprojroot,RIS,R,10
rstantools,RIS,R,10
secretstorage,RIS,Python,10
shinytest2,RIS,R,10
sphinx_gallery,RIS,Python,10
uc-micro-py,RIS,Python,10
uUId,RIS,R,10
viridis,RIS,R,10
mkdocs-gen-files,Process,Python,10
mkdocs-literate-nav,Process,Python,10
LAPACK,Modeling and simulation,C++,10
rstan,Modeling and simulation,R,10
spacy,Modeling and simulation,Python,10
nvidia-cuda-nvrtc-cu12,Hardware,Python,10
pthread,Hardware,C++,10
effectsize,Data analytics,R,10
folium,Data analytics,Python,10
healpy,Data analytics,Python,10
IRanges,Data analytics,R,10
lattice,Data analytics,R,10
maps,Data analytics,R,10
performance,Data analytics,R,10
rpart,Data analytics,R,10
sandwich,Data analytics,R,10
scikit_learn,Data analytics,Python,10
questionary,UI,Python,9
benchmark,Software analytics,C++,9
microbenchmark,Software analytics,R,9
boot,Software,R,9
cachem,Software,R,9
cligj,Software,Python,9
geojson,Software,Python,9
jaraco-context,Software,Python,9
jaraco-functools,Software,Python,9
mako,Software,Python,9
mime,Software,R,9
ninja,Software,Python,9
param,Software,Python,9
ps,Software,R,9
redis,Software,Python,9
simplejson,Software,Python,9
stevedore,Software,Python,9
backports-tarfile,RIS,Python,9
BiocStyle,RIS,R,9
brio,RIS,R,9
gtable,RIS,R,9
HDF5,RIS,C++,9
jquerylib,RIS,R,9
myst_nb,RIS,Python,9
ncdf4,RIS,R,9
pytest-datadir,RIS,Python,9
xlsxwriter,RIS,Python,9
xmltodict,RIS,Python,9
xtable,RIS,R,9
zarr,RIS,Python,9
sphinx-tabs,RIS,Python,9
pbapply,Process,R,9
pytest-benchmark,Process,Python,9
bottleneck,Modeling and simulation,Python,9
cvxpy,Modeling and simulation,Python,9
huggingface-hub,Modeling and simulation,Python,9
rtree,Modeling and simulation,Python,9
triton,Modeling and simulation,Python,9
nvidia-curand-cu12,Hardware,Python,9
nvidia-nvtx-cu12,Hardware,Python,9
cluster,Data analytics,R,9
dynesty,Data analytics,Python,9
fastmap,Data analytics,R,9
ggraph,Data analytics,R,9
isoband,Data analytics,R,9
opencv-python-headless,Data analytics,Python,9
pyogrio,Data analytics,Python,9
rioxarray,Data analytics,Python,9
rstanarm,Data analytics,R,9
S4Vectors,Data analytics,R,9
vroom,Data analytics,R,9
shinyWidgets,UI,R,8
codespell,Software analytics,Python,8
flake8-bugbear,Software analytics,Python,8
aiofiles,Software,Python,8
argparse,Software,Python,8
astunparse,Software,Python,8
beartype,Software,Python,8
bit64,Software,R,8
docstring-parser,Software,Python,8
flake8-docstrings,Software,Python,8
fmt,Software,C++,8
gast,Software,Python,8
gtest,Software,C++,8
pbr,Software,Python,8
pkgbUIld,Software,R,8
plumbum,Software,Python,8
propcache,Software,Python,8
pyside6,Software,Python,8
pytest-astropy,Software,Python,8
pytest-split,Software,Python,8
retrying,Software,Python,8
rfc3986,Software,Python,8
ruamel.yaml,Software,Python,8
s3transfer,Software,Python,8
sass,Software,R,8
systemfonts,Software,R,8
tblib,Software,Python,8
tomli-w,Software,Python,8
types-pytz,Software,Python,8
ZLIB,Software,C++,8
haven,RIS,R,8
highr,RIS,R,8
lwgeom,RIS,R,8
pyviz-comms,RIS,Python,8
ragg,RIS,R,8
rnaturalearth,RIS,R,8
ruamel-yaml,RIS,Python,8
ruamel-yaml-clib,RIS,Python,8
see,RIS,R,8
sphinx-click,RIS,Python,8
sphinxcontrib-programoutput,RIS,Python,8
sphinx-issues,RIS,Python,8
SQLAlchemy,RIS,Python,8
tensorboard-data-server,RIS,Python,8
bump2version,Process,Python,8
affine,Modeling and simulation,Python,8
gurobipy,Modeling and simulation,Python,8
nnet,Modeling and simulation,R,8
pvlib,Modeling and simulation,Python,8
randomForest,Modeling and simulation,R,8
ray,Modeling and simulation,Python,8
Shapely,Modeling and simulation,Python,8
brms,Data analytics,R,8
circlize,Data analytics,R,8
eqUInox,Data analytics,Python,8
farver,Data analytics,R,8
mapclassify,Data analytics,Python,8
optuna,Data analytics,Python,8
PyWavelets,Data analytics,Python,8
vegan,Data analytics,R,8
wandb,Data analytics,Python,8
.,,Python,8
labeling,,R,8
Python3,,C++,8
ipyvuetify,UI,Python,7
jupyter_client,UI,Python,7
mkdocstrings[python],UI,Python,7
prettyunits,UI,R,7
progressbar2,UI,Python,7
progressr,UI,R,7
setuptools-scm,UI,Python,7
shinyBS,UI,R,7
shinythemes,UI,R,7
asv,Software analytics,Python,7
bandit,Software analytics,Python,7
Catch2,Software,C++,7
diffobj,Software,R,7
distro,Software,Python,7
flit,Software,Python,7
GitPython,Software,Python,7
jaxtyping,Software,Python,7
jsonpickle,Software,Python,7
meson,Software,Python,7
parse,Software,Python,7
pathos,Software,Python,7
psygnal,Software,Python,7
pyproject-hooks,Software,Python,7
pytest-env,Software,Python,7
scipy-stubs,Software,Python,7
textshaping,Software,R,7
waldo,Software,R,7
zict,Software,Python,7
zstandard,Software,Python,7
fastparquet,RIS,Python,7
hdf5,RIS,C,7
markdown-include,RIS,Python,7
nbclassic,RIS,Python,7
pymongo,RIS,Python,7
R.rsp,RIS,R,7
readme-renderer,RIS,Python,7
sphinxcontrib.bibtex,RIS,Python,7
sphinxcontrib-apidoc,RIS,Python,7
sphinx-math-dollar,RIS,Python,7
sphinx-notfound-page,RIS,Python,7
wget,RIS,Python,7
alembic,Process,Python,7
commitizen,Process,Python,7
deprecation,Process,Python,7
gtools,Process,R,7
marshmallow,Process,Python,7
oauthlib,Process,Python,7
shinytest,Process,R,7
tinytest,Process,R,7
vcr,Process,R,7
glmmTMB,Modeling and simulation,R,7
numpyro,Modeling and simulation,Python,7
ordinal,Modeling and simulation,R,7
spglib,Modeling and simulation,Python,7
VGAM,Modeling and simulation,R,7
afex,Data analytics,R,7
BayesFactor,Data analytics,R,7
Biostrings,Data analytics,R,7
car,Data analytics,R,7
correlation,Data analytics,R,7
dbplyr,Data analytics,R,7
dendextend,Data analytics,R,7
duckdb,Data analytics,Python,7
e1071,Data analytics,R,7
GenomicRanges,Data analytics,R,7
geopy,Data analytics,Python,7
Hmisc,Data analytics,R,7
holoviews,Data analytics,Python,7
hvplot,Data analytics,Python,7
lmtest,Data analytics,R,7
marginaleffects,Data analytics,R,7
matrixStats,Data analytics,R,7
modelbased,Data analytics,R,7
nilearn,Data analytics,Python,7
opencv-contrib-python,Data analytics,Python,7
palettable,Data analytics,Python,7
pywavelets,Data analytics,Python,7
tokenizers,Data analytics,Python,7
torchaudio,Data analytics,Python,7
VTK,Data analytics,C++,7
bmipy,,Python,7
maintainers,,Python,7
praise,,R,7
TBB,,C++,7
anywidget,UI,Python,6
coloredlogs,UI,Python,6
ipyvue,UI,Python,6
jupyter_contrib_nbextensions,UI,Python,6
PyQt6,UI,Python,6
streamlit,UI,Python,6
tinytable,UI,R,6
traittypes,UI,Python,6
flexcache,Software,Python,6
flexparser,Software,Python,6
anytree,Software,Python,6
Click,Software,Python,6
clipr,Software,R,6
config,Software,R,6
crul,Software,R,6
dataclasses,Software,Python,6
deprecated,Software,Python,6
fansi,Software,R,6
flask-cors,Software,Python,6
google-pasta,Software,Python,6
httpuv,Software,R,6
isodate,Software,Python,6
mockery,Software,R,6
more_itertools,Software,Python,6
munch,Software,Python,6
paramiko,Software,Python,6
pdoc,Software,Python,6
pep8-naming,Software,Python,6
promises,Software,R,6
psycopg2-binary,Software,Python,6
pyinstaller,Software,Python,6
pyproject-api,Software,Python,6
pytest-qt,Software,Python,6
PythonInterp,Software,C++,6
RcppParallel,Software,R,6
rematch2,Software,R,6
requests-oauthlib,Software,Python,6
rfc3987-syntax,Software,Python,6
semver,Software,Python,6
types-psutil,Software,Python,6
tzlocal,Software,Python,6
validators,Software,Python,6
wadler-lindig,Software,Python,6
XML,Software,R,6
xxhash,Software,Python,6
zip,Software,R,6
bookdown,RIS,R,6
doxygen,RIS,C++,6
earthengine-api,RIS,Python,6
google-cloud-storage,RIS,Python,6
hdf5plugin,RIS,Python,6
intersphinx_registry,RIS,Python,6
nbmake,RIS,Python,6
nose,RIS,Python,6
pybids,RIS,Python,6
remotes,RIS,R,6
RSQLite,RIS,R,6
s3fs,RIS,Python,6
sessioninfo,RIS,R,6
sphinx-codeautolink,RIS,Python,6
sphinxcontrib-websupport,RIS,Python,6
sphinxext-opengraph,RIS,Python,6
configargparse,Process,Python,6
gh,Process,R,6
mike,Process,Python,6
pytest-doctestplus,Process,Python,6
cvxopt,Modeling and simulation,Python,6
gam,Modeling and simulation,R,6
gamm4,Modeling and simulation,R,6
obspy,Modeling and simulation,Python,6
origami,Modeling and simulation,R,6
pymc,Modeling and simulation,Python,6
pyomo,Modeling and simulation,Python,6
